icao24,callsign,dep_airport,arr_airport,firstseen,lastseen,day,event_ts,flight_duration_sec,dep_horiz_m,dep_vert_m,arr_horiz_m,arr_vert_m,dep_cand,arr_cand
001b17,DLH1857,EGLL,RJTT,1690464169,1690467402,1690412400,2023-07-27 15:22:49,3233,24279,5561,16945,4237,5,5
001c8c,AFR1326,LEBL,EDDF,1681408342,1681441934,1681340400,2023-04-13 19:52:22,33592,23318,7047,22315,6160,3,1
001dbb,QFA4471,EFHK,VHHH,1692251407,1692298051,1692226800,2023-08-17 07:50:07,46644,20472,3363,25740,6513,1,1
001ee0,SWA2936,EDDM,LFPG,1676885101,1676905674,1676847600,2023-02-20 10:25:01,20573,23244,2698,6243,7163,3,3
001fe3,BAW6749,EHAM,LFPG,1700664889,1700701573,1700607600,2023-11-22 15:54:49,36684,27111,7211,32817,8973,5,3
002428,UAE1635,LPPT,KDEN,1680595213,1680637540,1680562800,2023-04-04 10:00:13,42327,44857,4611,3327,5267,2,4
002494,SWA6841,EDDF,EGKK,1689700879,1689708379,1689634800,2023-07-18 19:21:19,7500,20651,6621,39738,2154,1,4
0024b1,QTR9005,OTHH,YSSY,1681575427,1681627975,1681513200,2023-04-15 18:17:07,52548,45143,9965,4169,5757,4,5
002589,SWA7232,LEBL,LSZH,1698762142,1698790542,1698706800,2023-10-31 15:22:22,28400,22311,6267,2137,4646,4,2
0025fa,UAE8155,EDDM,LOWW,1696750858,1696770166,1696719600,2023-10-08 09:40:58,19308,14647,6021,23675,4739,3,3
002949,EZY9034,LFPO,LOWW,1696987828,1697023008,1696978800,2023-10-11 03:30:28,35180,30809,8929,10907,1700,1,5
002bc5,RYR117,LIRF,OMDB,1673929618,1673981977,1673910000,2023-01-17 05:26:58,52359,19660,922,31356,6386,2,1
002c13,DAL3243,YSSY,RJTT,1703869153,1703884286,1703804400,2023-12-29 17:59:13,15133,31293,5784,23108,5803,3,3
002cc2,UAE7244,LFPG,KLAX,1701304765,1701343656,1701298800,2023-11-30 01:39:25,38891,15746,2709,2769,3667,5,3
002d9c,BAW9198,KJFK,LIRF,1690938190,1690976073,1690930800,2023-08-02 03:03:10,37883,33150,4349,11525,7626,3,1
002e7b,QTR1352,EKCH,EHAM,1698199216,1698207521,1698188400,2023-10-25 04:00:16,8305,32502,5941,21323,3178,2,5
002eb4,UAE8736,EGLL,LKPR,1681545964,1681556892,1681513200,2023-04-15 10:06:04,10928,47452,5240,42250,3180,3,5
003015,UAL4642,EHAM,LPPT,1693623271,1693652510,1693609200,2023-09-02 04:54:31,29239,356,9354,33469,4460,5,4
003015,DAL5464,KDEN,EGLL,1699775704,1699791643,1699743600,2023-11-12 08:55:04,15939,43520,7590,3427,7735,5,1
003109,ACA2338,OTHH,YSSY,1700993293,1701003059,1700953200,2023-11-26 11:08:13,9766,15895,9895,26117,7267,1,2
003122,UAE7247,WSSS,LIRF,1693151905,1693180581,1693090800,2023-08-27 17:58:25,28676,16138,9143,24719,6386,1,2
0031e0,SWA7486,ESSA,YSSY,1692143641,1692148767,1692140400,2023-08-16 01:54:01,5126,43381,1177,32489,8625,3,5
003300,EZY7981,EFHK,EGLL,1676880088,1676911249,1676847600,2023-02-20 09:01:28,31161,45012,3048,10834,2117,3,4
003493,AAL4472,LHBP,KLAX,1701968962,1702010144,1701903600,2023-12-07 18:09:22,41182,19626,750,8260,5166,2,3
0036a2,AFR4795,KORD,EGKK,1678296136,1678327858,1678230000,2023-03-08 18:22:16,31722,31854,4006,14018,4403,2,1
003872,SWA6115,LEBL,LSZH,1695315160,1695344661,1695250800,2023-09-21 18:52:40,29501,25405,5202,29900,9290,5,5
003a30,QTR851,YSSY,OTHH,1695952597,1695974940,1695942000,2023-09-29 03:56:37,22343,4139,5567,3650,4637,2,1
003b9d,RYR7380,KDFW,EDDM,1679745601,1679752710,1679698800,2023-03-25 13:00:01,7109,43734,5383,7951,895,3,3
003e23,RYR2205,LFPO,ESSA,1673114029,1673147219,1673046000,2023-01-07 18:53:49,33190,44462,6347,37651,7130,5,1
00408f,RYR2204,LKPR,VHHH,1694393350,1694443890,1694386800,2023-09-11 02:49:10,50540,23566,9663,8534,6559,2,2
0040ab,UAE2969,LOWW,EFHK,1695920203,1695929594,1695855600,2023-09-28 18:56:43,9391,9598,249,48692,4364,3,2
004243,UAE1728,EHAM,LHBP,1686987502,1686994013,1686956400,2023-06-17 09:38:22,6511,28820,7201,29112,4420,1,4
00462d,SWA9438,EGKK,ENGM,1677764443,1677818381,1677711600,2023-03-02 14:40:43,53938,47372,9711,48477,4966,3,3
0047fd,DAL5089,RJTT,LFPG,1677238018,1677279534,1677193200,2023-02-24 12:26:58,41516,22745,44,45603,3605,1,1
0048a8,QTR6243,LHBP,OMDB,1690426849,1690460823,1690412400,2023-07-27 05:00:49,33974,24795,8869,33959,8811,3,3
004c93,QFA3542,ENGM,LPPT,1687100287,1687139782,1687042800,2023-06-18 16:58:07,39495,39185,523,29530,7281,3,3
004d34,SWA698,LEMD,LIRF,1696093486,1696123524,1696028400,2023-09-30 19:04:46,30038,42526,2583,8244,7293,1,5
004eb4,EZY5760,EDDM,EDDF,1677518563,1677558755,1677452400,2023-02-27 18:22:43,40192,22316,4352,8952,9898,2,2
00595e,BAW8653,EGKK,OMDB,1682945692,1682973051,1682895600,2023-05-01 14:54:52,27359,26842,2863,22491,7493,5,3
00599a,RYR5647,LOWW,KORD,1682767921,1682780527,1682722800,2023-04-29 13:32:01,12606,11830,1420,29472,6480,2,5
005a33,QFA5010,KDEN,LFPO,1679185321,1679201207,1679180400,2023-03-19 01:22:01,15886,10639,5630,49684,5610,4,3
005d3f,DAL6540,KJFK,KDFW,1688404015,1688415586,1688338800,2023-07-03 19:06:55,11571,46926,4928,29731,3294,4,4
005eff,ACA4140,EFHK,EKCH,1688599696,1688638188,1688598000,2023-07-06 01:28:16,38492,30416,1415,8867,9244,1,3
005f9e,QFA7606,LEMD,LSZH,1698818926,1698827594,1698793200,2023-11-01 07:08:46,8668,49947,3836,22562,2903,2,1
0060b3,DAL6910,EDDF,KJFK,1679683330,1679707032,1679612400,2023-03-24 19:42:10,23702,14013,5966,47988,9861,3,3
0060c1,AAL7691,ENGM,LKPR,1675017946,1675023441,1674946800,2023-01-29 19:45:46,5495,9895,2003,31522,125,4,4
006155,RYR7622,LHBP,LIRF,1682676457,1682699793,1682636400,2023-04-28 12:07:37,23336,24306,4442,36954,5317,3,1
0061ff,BAW4359,OTHH,YSSY,1687343650,1687382903,1687302000,2023-06-21 12:34:10,39253,31708,4598,518,3886,4,4
00624c,UAE8404,LHBP,ENGM,1697624389,1697666280,1697583600,2023-10-18 12:19:49,41891,25744,3328,16184,3126,4,5
006333,BAW8749,OTHH,EPWA,1701008848,1701022209,1700953200,2023-11-26 15:27:28,13361,16422,2587,1356,6484,2,4
006387,QTR7347,EKCH,KJFK,1694134144,1694179812,1694127600,2023-09-08 02:49:04,45668,15983,4091,13562,3469,5,3
0065d8,AFR8308,LEBL,LPPT,1695782044,1695787411,1695769200,2023-09-27 04:34:04,5367,14957,7040,2797,2572,3,5
006a31,SWA3128,YSSY,EPWA,1688600233,1688622275,1688598000,2023-07-06 01:37:13,22042,1650,5267,24765,3926,5,4
006e91,DAL3632,OMDB,LIRF,1699152112,1699172103,1699138800,2023-11-05 03:41:52,19991,28348,8930,8566,1083,3,5
00714f,UAE1236,KDFW,OTHH,1693330396,1693354223,1693263600,2023-08-29 19:33:16,23827,24262,7496,15424,2095,3,4
0072dc,BAW9296,LFPG,LIRF,1686217330,1686259958,1686178800,2023-06-08 11:42:10,42628,37612,7384,32704,4367,4,5
0074a9,AAL1784,KJFK,OTHH,1689912547,1689961833,1689894000,2023-07-21 06:09:07,49286,3843,7699,6992,5481,5,1
00758a,AFR5836,KORD,EDDF,1672738678,1672747557,1672700400,2023-01-03 10:37:58,8879,18460,4032,16237,7704,1,3
0076c6,ACA1250,KORD,KDFW,1673512615,1673524859,1673478000,2023-01-12 09:36:55,12244,12482,3162,12464,1122,2,4
0078ac,DLH2710,YSSY,LKPR,1678354900,1678394677,1678316400,2023-03-09 10:41:40,39777,42634,5310,8742,9773,4,1
0078f4,EZY2946,KJFK,LEMD,1682679265,1682728177,1682636400,2023-04-28 12:54:25,48912,28053,4518,34581,8876,1,1
007919,SWA7012,EKCH,LPPT,1699371649,1699377041,1699311600,2023-11-07 16:40:49,5392,28644,6114,42992,5959,3,5
0079c6,ACA7227,LFPG,WSSS,1673876278,1673901334,1673823600,2023-01-16 14:37:58,25056,30341,9497,43963,7974,4,5
007a98,AAL5623,OMDB,KDFW,1696088632,1696121740,1696028400,2023-09-30 17:43:52,33108,22650,9501,48039,2083,5,5
007b29,ACA2331,OTHH,OMDB,1694046382,1694070760,1694041200,2023-09-07 02:26:22,24378,6791,1250,45889,6738,1,5
007ca6,RYR9696,ESSA,LKPR,1677854086,1677856291,1677798000,2023-03-03 15:34:46,2205,988,4638,21196,936,3,3
007fc2,QFA4134,ESSA,WSSS,1679073181,1679110028,1679007600,2023-03-17 18:13:01,36847,16354,8944,9319,9732,5,2
008089,QFA8326,EHAM,LFPO,1698346123,1698395475,1698274800,2023-10-26 20:48:43,49352,16416,3642,46364,2232,4,1
0082d8,SIA2502,LOWW,EKCH,1698322339,1698368199,1698274800,2023-10-26 14:12:19,45860,25122,6875,33418,1275,3,1
00835b,RYR2041,RJTT,KATL,1679121217,1679163184,1679094000,2023-03-18 07:33:37,41967,16448,2020,32783,1705,1,2
008445,DLH1411,LEBL,ESSA,1688905435,1688922809,1688857200,2023-07-09 14:23:55,17374,32671,6081,11020,3114,3,5
0085a4,DAL2280,LHBP,EPWA,1700736184,1700760248,1700694000,2023-11-23 11:43:04,24064,30186,8228,21867,6476,4,2
00860e,QFA7382,EDDM,EKCH,1699356247,1699402613,1699311600,2023-11-07 12:24:07,46366,43793,7154,10604,6957,5,3
008647,QTR3363,YSSY,LFPG,1702768939,1702808011,1702767600,2023-12-17 00:22:19,39072,26303,4998,18606,9799,5,5
008662,AFR8728,KLAX,LPPT,1697415337,1697444417,1697410800,2023-10-16 02:15:37,29080,22614,1129,48483,1145,4,3
00875a,UAE4163,KORD,KATL,1674697435,1674707822,1674687600,2023-01-26 02:43:55,10387,26678,5882,35489,4211,4,5
008abc,BAW236,KDFW,EFHK,1675067950,1675117699,1675033200,2023-01-30 09:39:10,49749,48334,7842,15882,4195,4,5
008ca8,DLH558,LHBP,EPWA,1685445277,1685477790,1685401200,2023-05-30 13:14:37,32513,34522,880,45558,769,5,1
008d19,UAL3279,LPPT,KATL,1698108256,1698125183,1698102000,2023-10-24 02:44:16,16927,30621,5106,29595,1608,4,5
008dd7,UAE6247,EHAM,LKPR,1675383268,1675419669,1675378800,2023-02-03 01:14:28,36401,17335,3058,31692,1700,4,3
008ea4,SIA1514,YSSY,LEMD,1685081227,1685123776,1685055600,2023-05-26 08:07:07,42549,49889,6616,46005,4717,4,5
008f5f,DAL835,EKCH,LSZH,1674655855,1674699708,1674601200,2023-01-25 15:10:55,43853,35432,3161,29113,9909,5,2
0092cd,AAL6123,EFHK,KLAX,1685365171,1685377245,1685314800,2023-05-29 14:59:31,12074,2469,7170,19202,1571,5,1
00943e,SIA572,EKCH,LFPO,1688797870,1688815246,1688770800,2023-07-08 08:31:10,17376,6976,413,12713,6924,5,2
00985c,BAW4343,EKCH,LHBP,1681963204,1682009321,1681945200,2023-04-20 06:00:04,46117,4053,5864,20972,2421,2,5
009932,DLH118,KDFW,ESSA,1700491612,1700508372,1700434800,2023-11-20 15:46:52,16760,35234,3364,4763,737,2,5
009a95,AFR8138,ENGM,EPWA,1699437673,1699477558,1699398000,2023-11-08 11:01:13,39885,10143,2271,7375,3276,4,5
009cb4,UAE9968,EGKK,LOWW,1698916789,1698944337,1698879600,2023-11-02 10:19:49,27548,20993,57,35884,9354,5,5
009df8,ACA5229,ESSA,KATL,1694574427,1694584725,1694559600,2023-09-13 05:07:07,10298,3751,8567,38620,7224,5,3
00a002,QFA4324,ESSA,EGLL,1682264266,1682273728,1682204400,2023-04-23 17:37:46,9462,44276,7957,40953,1914,2,4
00a2d9,EZY3617,LPPT,EPWA,1697351743,1697390559,1697324400,2023-10-15 08:35:43,38816,6955,5668,25823,9632,5,2
00a566,DLH8226,LEBL,KJFK,1675068292,1675109672,1675033200,2023-01-30 09:44:52,41380,27421,5830,32168,216,5,4
00a6bb,SWA3058,KORD,LFPO,1693909960,1693941658,1693868400,2023-09-05 12:32:40,31698,2631,3709,46171,9248,4,1
00a7b6,QTR111,LHBP,LKPR,1680539842,1680590936,1680476400,2023-04-03 18:37:22,51094,19667,3966,24591,2437,1,4
00adc8,QFA1245,KORD,EPWA,1673924632,1673948817,1673910000,2023-01-17 04:03:52,24185,36379,1240,21010,6682,5,4
00afe3,AFR6445,KATL,EKCH,1698556129,1698577662,1698534000,2023-10-29 06:08:49,21533,14236,1209,20529,9842,2,4
00b07c,DLH6725,EDDF,KJFK,1688608471,1688636486,1688598000,2023-07-06 03:54:31,28015,34362,5715,31499,79,5,3
00b2d2,UAL859,EFHK,OMDB,1703127187,1703165943,1703113200,2023-12-21 03:53:07,38756,34788,8637,19900,2632,4,5
00b454,RYR7082,ESSA,YSSY,1687604224,1687628365,1687561200,2023-06-24 12:57:04,24141,49001,3118,32630,8391,5,2
00b463,QTR7967,OTHH,LEBL,1692674677,1692695564,1692658800,2023-08-22 05:24:37,20887,42958,634,16771,1913,3,4
00b494,AFR384,KJFK,VHHH,1674893893,1674930793,1674860400,2023-01-28 09:18:13,36900,17601,8427,24849,4786,2,2
00b50a,SIA8249,EGKK,LFPG,1698472807,1698519781,1698447600,2023-10-28 08:00:07,46974,16076,4766,15438,3081,4,2
00b816,AAL3338,EGKK,KLAX,1702719868,1702771537,1702681200,2023-12-16 10:44:28,51669,22938,9193,42544,5023,1,5
00bad7,EZY9940,WSSS,KDEN,1683177115,1683218022,1683154800,2023-05-04 07:11:55,40907,38001,9325,6005,9825,3,3
00bb04,BAW4949,KLAX,LIRF,1676766145,1676799967,1676761200,2023-02-19 01:22:25,33822,3493,5176,15784,634,2,2
00bed0,EZY725,LIRF,LFPO,1697869579,1697886637,1697842800,2023-10-21 08:26:19,17058,21449,6708,20425,9929,2,4
00bf38,ACA5541,LKPR,EFHK,1699981936,1700033816,1699916400,2023-11-14 18:12:16,51880,35101,6428,2005,4520,1,2
00c3c5,RYR2571,EDDM,KATL,1681869262,1681890351,1681858800,2023-04-19 03:54:22,21089,40157,9064,14005,1964,3,4
00c797,QTR2522,ESSA,LEMD,1676621113,1676633761,1676588400,2023-02-17 09:05:13,12648,38480,3074,22778,6865,5,4
00c8c2,AAL2310,LEBL,EGKK,1695251497,1695292717,1695250800,2023-09-21 01:11:37,41220,14040,9677,25150,8891,1,5
00caa8,UAL2084,KLAX,LFPO,1677477589,1677526463,1677452400,2023-02-27 06:59:49,48874,37027,8764,1271,4628,2,4
00cd47,ACA1718,EHAM,LEBL,1672858066,1672877036,1672786800,2023-01-04 19:47:46,18970,44492,3131,7301,5405,4,1
00cd8b,QFA5301,VHHH,KLAX,1683155344,1683184312,1683154800,2023-05-04 01:09:04,28968,21960,2792,37498,7045,2,5
00cf70,AAL7206,OTHH,LFPO,1685106607,1685130592,1685055600,2023-05-26 15:10:07,23985,34705,9707,28961,7778,4,2
00cfdb,DLH3997,LFPG,LEMD,1689868609,1689909418,1689807600,2023-07-20 17:56:49,40809,11905,4400,3152,6790,3,3
00d051,SIA4302,LEBL,KLAX,1695743902,1695766242,1695682800,2023-09-26 17:58:22,22340,33190,1397,23197,5530,3,2
00d170,UAL3393,ESSA,LEMD,1675479328,1675485576,1675465200,2023-02-04 03:55:28,6248,23551,3265,42841,7718,5,1
00d1be,UAL8912,YSSY,EDDF,1677208210,1677224944,1677193200,2023-02-24 04:10:10,16734,41730,1016,3800,241,2,1
00d3c1,BAW6971,LFPG,LEMD,1697080699,1697129038,1697065200,2023-10-12 05:18:19,48339,14497,720,5034,3484,1,5
00d3cc,BAW4275,EHAM,LKPR,1682867140,1682897727,1682809200,2023-04-30 17:05:40,30587,32766,357,45642,9070,5,3
00d451,DLH7372,ESSA,LIRF,1694830441,1694856511,1694818800,2023-09-16 04:14:01,26070,6733,8749,43706,1687,4,1
00d5a9,QTR9035,LSZH,ESSA,1689859012,1689909186,1689807600,2023-07-20 15:16:52,50174,43569,8550,19568,8411,5,2
00dac3,RYR4728,LHBP,LKPR,1690596574,1690636501,1690585200,2023-07-29 04:09:34,39927,38135,5515,18351,7701,4,1
00dcf9,AAL2578,LFPG,EGLL,1689099718,1689124452,1689030000,2023-07-11 20:21:58,24734,30243,4205,677,1478,3,5
00dd53,QFA6350,LFPO,LOWW,1680174784,1680203771,1680130800,2023-03-30 13:13:04,28987,37589,7445,11805,6840,5,1
00dedc,BAW9732,LEMD,YSSY,1692446875,1692449665,1692399600,2023-08-19 14:07:55,2790,21153,7958,19340,7059,3,2
00e115,DLH2231,VHHH,KDEN,1679013487,1679047770,1679007600,2023-03-17 01:38:07,34283,33902,5805,20788,9582,2,3
00e41c,QFA6218,KJFK,KATL,1689517114,1689528152,1689462000,2023-07-16 16:18:34,11038,4520,9598,15482,5558,3,4
00e57d,AAL3253,LKPR,KATL,1702309525,1702336930,1702249200,2023-12-11 16:45:25,27405,12757,6066,241,2007,2,4
00e661,AFR5070,EPWA,VHHH,1695564838,1695572088,1695510000,2023-09-24 16:13:58,7250,21621,3312,42703,1293,1,1
00e6ba,QTR6215,VHHH,LPPT,1693708816,1693712787,1693695600,2023-09-03 04:40:16,3971,35154,5321,12244,6581,2,3
00e7b5,BAW3023,LOWW,EDDM,1699122610,1699140481,1699052400,2023-11-04 19:30:10,17871,46659,2081,402,8247,4,1
00ea53,AFR4229,KORD,KDFW,1701657943,1701711242,1701644400,2023-12-04 03:45:43,53299,11884,4102,19343,3708,2,1
00eb06,EZY1009,LFPG,ESSA,1701609328,1701616013,1701558000,2023-12-03 14:15:28,6685,6028,3545,9831,6633,2,3
00eb51,SWA7468,OTHH,EKCH,1697440738,1697442682,1697410800,2023-10-16 09:18:58,1944,8616,4341,20784,3047,5,5
00eb9f,AFR2789,EDDF,RJTT,1690681327,1690684529,1690671600,2023-07-30 03:42:07,3202,36330,3041,6971,5668,3,5
00ec7e,SWA2774,RJTT,ESSA,1697303851,1697320450,1697238000,2023-10-14 19:17:31,16599,6970,3069,49436,9048,2,4
00ed46,UAE7926,ESSA,LSZH,1702081225,1702134994,1702076400,2023-12-09 01:20:25,53769,4307,3271,36860,5599,3,5
00ef4d,SIA4370,RJTT,WSSS,1682774836,1682781065,1682722800,2023-04-29 15:27:16,6229,15674,3708,18939,7554,3,2
00f126,AFR4749,LKPR,EHAM,1680890179,1680893028,1680822000,2023-04-07 19:56:19,2849,40512,2070,36175,8561,4,2
00f4fe,EZY240,ESSA,EDDF,1698586291,1698617867,1698534000,2023-10-29 14:31:31,31576,39371,3900,16776,7423,4,3
00f5af,UAL8834,LFPO,ESSA,1688457868,1688472706,1688425200,2023-07-04 10:04:28,14838,31630,5690,7964,5739,5,2
00f5bf,ACA754,RJTT,LFPO,1693415584,1693450777,1693350000,2023-08-30 19:13:04,35193,48541,9357,39032,5043,1,3
00f6c9,DAL251,LEBL,EDDF,1689700372,1689717278,1689634800,2023-07-18 19:12:52,16906,2211,2316,43886,4149,5,1
00f80c,QFA5687,LIRF,WSSS,1683136345,1683151378,1683068400,2023-05-03 19:52:25,15033,16794,4557,4906,7414,4,3
00f8c3,AFR8868,EPWA,LFPO,1685247034,1685297367,1685228400,2023-05-28 06:10:34,50333,10027,2633,22967,3314,5,3
00f8c3,SIA1428,EDDM,LSZH,1691849779,1691883525,1691794800,2023-08-12 16:16:19,33746,15347,7164,4375,1233,3,4
00f914,AAL4716,EGKK,KATL,1681714480,1681747212,1681686000,2023-04-17 08:54:40,32732,32556,1030,12943,7506,4,5
00fac2,RYR126,LEBL,LKPR,1693214581,1693232479,1693177200,2023-08-28 11:23:01,17898,21256,3919,42717,2892,4,5
00fddb,UAE2692,EDDM,OMDB,1690684900,1690712051,1690671600,2023-07-30 04:41:40,27151,680,742,24890,2623,3,2
00ffa8,ACA8357,KATL,LOWW,1675525537,1675569592,1675465200,2023-02-04 16:45:37,44055,32757,7679,29106,8356,4,4
0100a9,BAW2184,RJTT,WSSS,1693205878,1693241884,1693177200,2023-08-28 08:57:58,36006,48966,8355,12156,1071,2,5
010240,AFR4884,LOWW,YSSY,1694333065,1694335094,1694300400,2023-09-10 10:04:25,2029,7807,9245,8299,8434,2,2
0104b8,UAL8264,LFPG,LFPO,1677005539,1677034143,1676934000,2023-02-21 19:52:19,28604,22458,3387,18366,2183,5,3
01063c,BAW9644,LEBL,EPWA,1680946510,1681000331,1680908400,2023-04-08 11:35:10,53821,2369,3703,17363,4610,1,1
0106e4,EZY6791,EKCH,KDFW,1692456343,1692481596,1692399600,2023-08-19 16:45:43,25253,40384,6925,41265,6513,2,2
010848,DAL1546,EHAM,LFPG,1701784372,1701796671,1701730800,2023-12-05 14:52:52,12299,28791,4304,32487,9532,5,4
010959,UAE8858,RJTT,ENGM,1699251991,1699288824,1699225200,2023-11-06 07:26:31,36833,24072,3319,41705,9677,5,5
0109f9,UAE8272,KATL,EPWA,1694265085,1694313588,1694214000,2023-09-09 15:11:25,48503,46069,1040,13551,586,2,5
010a23,QFA945,LFPO,OTHH,1677307882,1677337997,1677279600,2023-02-25 07:51:22,30115,48734,1986,30806,9973,2,5
010d98,BAW5766,KATL,WSSS,1699860259,1699912733,1699830000,2023-11-13 08:24:19,52474,9028,4300,1003,9298,5,1
010ef8,BAW306,KATL,OMDB,1681701511,1681703651,1681686000,2023-04-17 05:18:31,2140,24175,1537,13783,5362,4,5
01124a,AFR3796,RJTT,EFHK,1681792801,1681822481,1681772400,2023-04-18 06:40:01,29680,17243,6674,46633,9824,3,5
0112f6,AAL5342,EPWA,VHHH,1678163959,1678180934,1678143600,2023-03-07 05:39:19,16975,36880,3136,24691,1223,4,5
0115a7,QFA9607,LIRF,ESSA,1680513568,1680549716,1680476400,2023-04-03 11:19:28,36148,25121,8090,90,7709,1,2
0115ee,EZY942,EGKK,OTHH,1677300769,1677309961,1677279600,2023-02-25 05:52:49,9192,37759,5997,49251,9190,2,4
011765,AAL9487,EFHK,LFPO,1694687077,1694721358,1694646000,2023-09-14 12:24:37,34281,39381,6961,20578,2308,2,3
011779,ACA9311,WSSS,EPWA,1691344927,1691355444,1691276400,2023-08-06 20:02:07,10517,13182,4062,47405,9790,5,4
011972,SIA7932,RJTT,OTHH,1692079978,1692083240,1692054000,2023-08-15 08:12:58,3262,27347,450,231,4606,4,2
011a89,SIA4993,LKPR,WSSS,1692667828,1692704751,1692658800,2023-08-22 03:30:28,36923,8225,7238,10499,552,4,3
011a91,AAL2737,RJTT,KATL,1694951566,1694958101,1694905200,2023-09-17 13:52:46,6535,25148,9789,14284,2824,3,2
011b31,AFR7065,RJTT,LHBP,1702812133,1702828057,1702767600,2023-12-17 12:22:13,15924,40530,2744,8859,9271,3,3
011cc2,DAL5607,YSSY,EGKK,1686582259,1686597703,1686524400,2023-06-12 17:04:19,15444,916,5849,46321,2243,1,2
011d8d,QTR1144,EPWA,LFPO,1676904715,1676939809,1676847600,2023-02-20 15:51:55,35094,29056,2135,47204,1387,2,5
011dbb,SIA7945,KATL,ESSA,1673400580,1673427197,1673391600,2023-01-11 02:29:40,26617,41193,5003,37851,4075,5,5
011ebc,SIA8212,EKCH,LSZH,1697420644,1697427442,1697410800,2023-10-16 03:44:04,6798,2725,7330,9308,3288,5,2
011f86,BAW2907,KATL,KDEN,1703028037,1703058798,1703026800,2023-12-20 00:20:37,30761,32661,8412,51,3342,1,4
012391,AAL679,ESSA,KATL,1700309062,1700321932,1700262000,2023-11-18 13:04:22,12870,9034,7183,15696,2503,4,2
01243f,SWA1392,YSSY,LSZH,1694170897,1694202312,1694127600,2023-09-08 13:01:37,31415,3797,9666,44979,2543,3,5
01244d,SWA8297,LIRF,EGKK,1681871587,1681888644,1681858800,2023-04-19 04:33:07,17057,20569,8592,31964,8097,2,1
0125e5,ACA5102,ESSA,LEBL,1686462793,1686484882,1686438000,2023-06-11 07:53:13,22089,33446,7674,40320,3978,5,3
0126fd,SWA7664,OTHH,EFHK,1692172126,1692192715,1692140400,2023-08-16 09:48:46,20589,35235,1612,6777,6871,2,4
012afc,EZY2406,KDFW,WSSS,1694579353,1694604268,1694559600,2023-09-13 06:29:13,24915,18319,4901,17205,8515,5,2
012bab,EZY2757,LKPR,KLAX,1687700692,1687752867,1687647600,2023-06-25 15:44:52,52175,43763,2989,9779,3598,1,2
012c17,QTR512,LPPT,RJTT,1684551952,1684580801,1684537200,2023-05-20 05:05:52,28849,44039,2291,22969,2491,2,1
012d53,QTR4222,LIRF,EFHK,1700203354,1700255996,1700175600,2023-11-17 07:42:34,52642,2437,3186,12214,6792,2,5
012dfd,RYR271,LKPR,EGLL,1687163938,1687166101,1687129200,2023-06-19 10:38:58,2163,26156,7978,5235,628,5,4
012e0f,SIA7438,EHAM,EGKK,1682186197,1682200098,1682118000,2023-04-22 19:56:37,13901,10290,2646,32541,1386,1,4
012f96,SWA2085,KLAX,LPPT,1703382448,1703430203,1703372400,2023-12-24 02:47:28,47755,43634,7465,39973,1954,4,3
0130ca,UAL1549,YSSY,OTHH,1681457755,1681464409,1681426800,2023-04-14 09:35:55,6654,49198,136,27190,8193,5,2
01313e,UAL3648,RJTT,LOWW,1686363160,1686410776,1686351600,2023-06-10 04:12:40,47616,8526,348,22869,7923,1,2
0131d2,QTR403,KATL,EDDM,1682835025,1682873187,1682809200,2023-04-30 08:10:25,38162,25233,3203,31843,1361,4,4
